age;gender;loan_balance_0m
35;Ì;0
58;Ì;167709.43
47;Ì;0
41;F;0
33;F;7320.81
43;F;0
37;F;0
41;F;0
42;F;0
37;F;0
30;F;0
48;F;1033088.32
56;F;745897.07
55;F;0
59;F;1271.19
33;F;0
48;Ì;0
52;Ì;0
59;Ì;0
47;Ì;603322.59
37;Ì;0
20;Ì;0
31;Ì;0
51;Ì;0
24;Ì;31015.8
33;Ì;0
27;Ì;0
39;Ì;0
55;Ì;0
49;Ì;13115.59
38;Ì;858661.55
23;F;0
28;F;0
25;Ì;0
57;Ì;0
56;Ì;1224871.03
40;F;366267.82
49;F;0
58;Ì;0
36;Ì;549235.81
57;Ì;0
35;Ì;773343.35
52;F;375311.38
21;F;0
30;F;0
34;F;259178.87
30;F;0
23;F;0
41;F;0
30;F;0
52;F;229762.57
32;F;0
35;F;0
22;F;765122.71
31;F;0
35;F;0
35;F;0
37;F;0
38;F;0
42;F;337145.17
41;F;181124.9
43;F;0
31;F;59106.04
42;F;54687.53
57;Ì;0
56;Ì;0
55;Ì;0
32;Ì;18459.15
46;Ì;0
26;Ì;0
32;Ì;115998.08
24;F;0
55;F;0
61;F;122749.43
52;F;0
34;F;0
50;F;640530.94
28;F;0
23;F;0
62;F;0
31;F;0
53;F;0
45;F;250113.79
38;F;0
47;F;0
37;F;0
33;Ì;0
54;Ì;362535.94
60;Ì;0
52;F;0
47;Ì;0
47;F;0
37;F;0
48;F;0
37;F;0
69;F;0
27;F;0
40;F;0
50;F;19723.34
46;F;0
31;F;0
24;F;0
36;F;219358.19
20;F;0
34;F;0
54;Ì;0
64;Ì;0
43;Ì;0
57;Ì;0
61;Ì;0
31;Ì;0
32;Ì;470399.77
17;Ì;0
45;Ì;142006.49
47;Ì;0
39;Ì;87788.27
40;Ì;0
24;Ì;0
42;Ì;0
29;Ì;0
56;Ì;0
38;Ì;0
65;Ì;0
65;Ì;0
67;Ì;0
33;Ì;0
38;Ì;902411.81
49;Ì;120361.73
35;Ì;0
26;Ì;0
45;Ì;281581.04
52;Ì;697894.04
56;Ì;2423615.82
45;Ì;979724.8
37;Ì;149337.47
70;Ì;0
71;Ì;0
30;Ì;0
36;Ì;0
58;F;0
57;F;0
29;Ì;0
34;F;0
43;F;0
48;F;0
38;Ì;0
36;F;0
43;F;11010.03
35;Ì;0
44;Ì;320546.22
59;F;0
43;Ì;0
65;Ì;0
54;F;0
41;F;0
29;Ì;0
33;Ì;0
39;F;9025.01
49;Ì;0
54;Ì;0
37;F;0
24;F;150
60;F;363747.19
22;F;0
43;F;0
39;F;0
59;F;142245.6
63;F;0
36;Ì;0
28;Ì;0
44;Ì;0
43;Ì;0
42;Ì;0
54;F;0
65;Ì;0
55;F;87586.83
59;F;0
43;F;0
58;F;0
37;F;0
24;F;0
33;F;46765.64
36;F;0
62;Ì;0
34;Ì;0
38;Ì;0
43;Ì;676754.14
43;Ì;179475.44
32;Ì;0
34;Ì;0
46;F;1484
51;Ì;0
65;Ì;0
44;Ì;0
59;Ì;0
58;Ì;0
47;F;55767.3
36;F;0
30;Ì;0
66;Ì;0
29;F;0
55;Ì;0
60;F;0
39;Ì;0
32;F;0
34;F;0
44;Ì;0
58;Ì;0
33;Ì;0
54;Ì;72483.1
26;F;100
61;F;457722.41
49;F;0
57;F;0
49;F;388219.06
51;F;0
32;F;34159.52
34;F;0
35;F;0
33;;0
31;F;0
52;Ì;0
59;Ì;492786.23
46;;1428052.01
39;Ì;0
36;Ì;0
42;Ì;0
30;Ì;0
52;Ì;237470.5
42;Ì;453810.64
57;Ì;0
28;Ì;0
37;Ì;0
31;;0
37;Ì;0
44;F;0
68;F;0
45;F;0
62;Ì;955640.45
59;F;0
20;F;0
35;Ì;0
49;Ì;0
62;F;0
35;Ì;0
32;F;500086.8
25;Ì;0
61;F;0
49;Ì;1832.59
31;Ì;171084.74
28;F;43318.07
55;Ì;228722.14
65;F;0
22;;0
42;F;1235501.84
20;Ì;0
20;F;0
32;Ì;0
28;F;0
34;Ì;288073.42
24;;0
24;;0
52;Ì;0
36;Ì;0
63;F;0
44;Ì;0
49;Ì;635012.97
21;;0
46;Ì;0
45;F;0
61;;0
46;F;0
62;Ì;0
35;F;0
55;F;0
16;Ì;0
45;F;0
20;Ì;0
36;Ì;0
45;F;0
32;Ì;0
30;Ì;0
38;Ì;0
47;F;0
60;Ì;0
44;Ì;0
26;Ì;0
50;F;0
48;F;149280.11
38;Ì;446857.26
44;Ì;0
45;Ì;0
34;Ì;0
30;F;151673.18
35;F;20560.49
40;Ì;0
48;Ì;0
39;Ì;1133059.48
45;Ì;0
56;Ì;651240.61
38;F;848347.18
57;Ì;0
47;Ì;0
58;Ì;0
34;Ì;0
46;Ì;0
59;Ì;0
33;F;0
27;Ì;0
34;Ì;0
42;;0
42;F;0
17;Ì;0
37;Ì;0
35;Ì;244981.12
38;F;0
35;Ì;0
52;Ì;539649.81
48;Ì;1311951.65
54;Ì;208044.14
45;F;0
42;Ì;0
